,mod
2799,i-mobile_IQ_BIG2
2800,QMobile M350
2801,Azumi_IRO_A5_QL
2802,SM-J510UN
2803,A20
2804,Thrill Plus 16GB
2805,Micromax P681
2806,HTC Desire 816 dual sim
2807,P4526A
2808,SM-G935U
2809,LS-5018
2810,VFD 620
2811,La Tab 105
2812,E4_Lite
2813,M_bot_tab_71
2814,Ilium L610
2815,Andromax I46D1G
2816,SM-J727S
2817,SM-G360T1
2818,QMobile E1
2819,S455120
2820,ASUS_X00ADA
2821,YOGA Tablet 2 Pro-1380L
2822,TECNO H5
2823,BP 326
2824,ASUS_X008DA
2825,X1S
2826,5046Y
2827,INTEX AQUA 5.5 VR+
2828,5145A
2829,A3-A40
2830,BLN-L22
2831,Z799VL
2832,P7plus
2833,ITELL K4700
2834,D2502
2835,XT1064
2836,Z220
2837,SM-G850M
2838,SAMSUNG-SM-J327A
2839,YU5011
2840,SK1_Plus
2841,MTN-S730
2842,P10
2843,Aqua_Slice_II
2844,AX1020
2845,Ulefone S7
2846,INTEX ELYT DUAL
2847,A76Plus
2848,M50
2849,CRO-U00
2850,Micromax E353
2851,SM-G930W8
2852,A68
2853,SM-T285YD
2854,HUAWEI LUA-L21
2855,F488
2856,LS-6001
2857,FashionEye
2858,i7s Plus
2859,Cosmos_V6
2860,SM-N920P
2861,Go SP
2862,Wink_City_S
2863,Z6
2864,AntarcticE
2865,Micromax Bharat 5
2866,iris Fuel50
2867,VOTO V2
2868,YPADP702
2869,Shock 5
2870,B9401
2871,HUAWEI TAG-L03
2872,E5606
2873,B8416
2874,Aqua Q8
2875,Max 3
2876,SM-S906L
2877,M4CR
2878,Astra NXT Pro
2879,LGM-K121K
2880,X7 Plus
2881,SM-T330
2882,LGL57BL
2883,Plume P8 Pro
2884,Flare_P1_Lite
2885,Micromax Q400
2886,FTJ162E
2887,DOOGEE X10
2888,Aquaris U2
2889,M4 SS4452
2890,Symtab50
2891,LDN-LX2
2892,AtomTwo
2893,Coolpad Y91-I00
2894,9001D
2895,Lenovo K8
2896,CUN-L22
2897,X-TIGI_V3+
2898,Polymer 2
2899,SAMSUNG-SM-J120AZ
2900,X2_Soul_Style_Plus
2901,A48_8GB
2902,i10
2903,Studio J2
2904,5016A
2905,T06
2906,U50
2907,FS553
2908,Alcatel_5098O
2909,HIT Q500 3G HT5035PG
2910,Mega
2911,ALUMINI
2912,IKALL
2913,B73
2914,Mtech TEZ 4G
2915,M72 Smart
2916,AÂ²
2917,M20s
2918,Andromax ES C46B2G
2919,Panasonic_Eluga_I3
2920,Karbonn Aura Power
2921,P2
2922,SM-G600S
2923,A79
2924,S5
2925,Aqua Wing
2926,Hisense D2-F
2927,B3-A40FHD
2928,IM6
2929,i4A
2930,Cosmos
2931,Blade L110
2932,Micromax Q462
2933,C9 Plus
2934,Infinix X559
2935,SM-G850Y
2936,INTEX AQUA A4 PLUS
2937,Astro
2938,Micromax Q338
2939,XT1526
2940,WE L6
2941,Infinix-X600
2942,STK Life 5
2943,SMART MAX 4.0
2944,ASUS_Z00SD
2945,V52
2946,Impress_Noda
2947,LT4501
2948,LT500
2949,5017A
2950,ASUS_X009DA
2951,X7
2952,MY805
2953,FS514
2954,4049G
2955,Impress U Too
2956,5045G
2957,Polar H5
2958,iPhone X
2959,QMobile i8i
2960,itel it1513
2961,X9009
2962,ZTE BLADE A521
2963,Ilium X220
2964,SM-N910W8
2965,Vivo 5 Mini
2966,PSPC550
2967,SLA-L03
2968,Panoramic FQ-058
2969,Cloud Q11 4G
2970,Galaxy J7â‚†
2971,SMART Start 3
2972,SAMSUNG-SM-J727A
2973,NUU_A3
2974,Pacific
2975,V5010
2976,K9 Smart Eco
2977,Teapot
2978,S7A
2979,LG-D852
2980,Infinix-X600-LTE
2981,LG-K450
2982,LG-H901
2983,TECNO WX3
2984,EVO2
2985,TM-4510
2986,LM-X210VPP
2987,QTAQZ3
2988,5044T
2989,9203A
2990,G3416
2991,ZTE Blade A465
2992,P9+
2993,iCherry C211
2994,MYA-L03
2995,itel S11X
2996,Swift 2
2997,Royal R6
2998,Infinix NOTE 3 Pro
2999,T11
3000,SHV-E330S
3001,Titanium Vista 4G
3002,Orange-Rise52
3003,A504 Trace
3004,E1C 3G
3005,Clever-Wave S50
3006,Me 4
3007,4055J
3008,Lenovo S1a40
3009,C231
3010,B9501
3011,XT1093
3012,R70A
3013,LGMS428
3014,BTV-W09
3015,EGQ373
3016,Elite_4.0S
3017,Prime P4442
3018,Prime P30
3019,Z971
3020,SM-P355
3021,QMobile i2 PRO
3022,Micromax Q416
3023,Eluga_Ray_700
3024,SM-G928A
3025,PSP5515DUO
3026,LG-F560K
3027,GT-I9295
3028,5054S
3029,N503
3030,L-EMENT_403
3031,MoovaShuffle
3032,Z power
3033,VIVID_PREMIUM
3034,SLAY II
3035,itel S42
3036,S8 7
3037,LS-5506
3038,DLI-L42
3039,Ilium L1120
3040,SM-G928C
3041,PSPCL20A0
3042,vivo 1727
3043,Micromax E484
3044,I7D
3045,WELWITSCHIA
3046,D3
3047,LG-K557
3048,A9
3049,A502_Aurum
3050,P6 PRO
3051,ZP330
3052,IvoryS4G
3053,T2J
3054,U45
3055,KIW-AL10
3056,Aqua Super
3057,iBall Slide 3G Q45i
3058,R50A
3059,KYOCERA-C6742A
3060,ADMIRE NEO+
3061,WALTON Primo HMmini
3062,5062
3063,IS2S
3064,M26
3065,H300
3066,HUAWEI VNS-L23
3067,TECNO-C7
3068,INFINIX
3069,LG-V520
3070,TG-L800S
3071,Star 4G
3072,O8
3073,Tele2_Mini
3074,D6
3075,V65
3076,SM-A710L
3077,SHV-E300S
3078,LGL157BL
3079,Infinix-X552
3080,HWT31
3081,Titanium_3D-Plex_Lite
3082,RNE-L22
3083,P91
3084,iCherry C255
3085,AUM-L29
3086,AGS-L09
3087,GiONEE S7
3088,LGM-X600L
3089,SMART_Race2_4G
3090,Platinum M4
3091,Emerald_M55CRD
3092,P5006A
3093,M11
3094,MS45S_A6_Senior
3095,WAVE 4.0 II
3096,SM-J500N0
3097,K9 Kavach 4G
3098,SM-J710K
3099,P65
3100,SM-J106M
3101,Joy
3102,MyPhoneMY27
3103,F8332
3104,LG-H634
3105,AX1035
3106,Tele2 Midi
3107,roarV95
3108,B3 Simply
3109,9003X
3110,CAG-L22
3111,wt88047
3112,QMobile Black Two
3113,ZB500KL
3114,Q6
3115,AQT80
3116,E7114HG
3117,VS986
3118,SAMSUNG-SM-G925A
3119,Ares
3120,E5633
3121,P2 Lite
3122,TECNO S1
3123,5065A
3124,SAMSUNG-SM-G930A
3125,SM-T800
3126,STUDIO ENERGY 2
3127,moto e5 play
3128,VFD 200
3129,5011A
3130,LM-X210
3131,X20
3132,Thrill Boost 3
3133,SH-01H
3134,M50 MAX
3135,Jump Neo
3136,Primo R4 Plus
3137,LS-5005
3138,X50
3139,U6
3140,Blaupunkt SL 04
3141,Defi_Phantom
3142,SM-A605G
3143,SM-J510S
3144,SM-G930U
3145,POLYTRON-R2457
3146,FS526
3147,Tele2_Midi_LTE
3148,6039Y
3149,X9
3150,S7 Pro
3151,Konnect_601
3152,KING
3153,HTCD160LVW
3154,A3
3155,ST7701
3156,YUHO U1
3157,QMobile S1 Lite
3158,AX1016
3159,Z91
3160,W5012
3161,Phantom6
3162,SM-C7010
3163,BGO-DL09
3164,Polymer 2x
3165,S6S5IN3G
3166,Me 3S
3167,ULTRA Z
3168,5017X
3169,InFocus M425
3170,Lenovo TAB 2 A7-30DC
3171,i4U
3172,DINGDING-SK7
3173,CPH1605
3174,Hisense L675
3175,ELUGA_A3
3176,Konnect Plus
3177,HTC Desire 826 dual sim
3178,SCH-I545PP
3179,LG-H900
3180,Studio M5 Plus
3181,iris 505
3182,Me 1+
3183,lephone_W15
3184,S40
3185,V140
3186,Tele2_Mini_1_1
3187,A74A*
3188,Haier G32
3189,YU5530
3190,SM-A710F
3191,SP5540-CasiopeaXXL
3192,Ixion M240
3193,HTC_D728x
3194,Comio C2 Lite
3195,Astra Champ+ 4G
3196,8_Plus
3197,STELLAR
3198,7008
3199,Hisense F31
3200,Flare_S5_mini
3201,POLYTRON R2457
3202,QMobile i8i PRO
3203,Snap_4G2
3204,PHONE 8
3205,vivo 1801
3206,XM100
3207,Aspire2
3208,SM-G610K
3209,SM-G5700
3210,Z8
3211,D1
3212,C8
3213,SM-J337V
3214,LGL63BL
3215,LG-F500L
3216,Infinix HOT 3
3217,BLU GRAND 5.5 HD
3218,XT1008
3219,SM-G903M
3220,iris560
3221,Lenovo TB3-850M
3222,R40D
3223,SM-A700S
3224,Aura Power 4G
3225,MOVIC-W5
3226,Xplay6
3227,F3113
3228,VS980 4G
3229,LG-D800
3230,BQru-4526
3231,SM-G5500
3232,DOMOS
3233,ATU-L31
3234,PGN521
3235,Iris Fuel F1
3236,AMA_A703
3237,RCT6873W42M_F7
3238,BLADE A602
3239,M631Y
3240,Star_Plus
3241,716
3242,Admire Swadesh
3243,QT-10
3244,AIR
3245,BQS-5070
3246,M8411
3247,SM-N9000Q
3248,SM-G930VL
3249,Fuego 4.0T
3250,verykoolS4008
3251,5056U
3252,BLADE V8
3253,Tablet_DL_3722
3254,8080
3255,Aqua_LifeIII
3256,TRT-LX3
3257,Flare XL 2
3258,FS527
3259,itel A51
3260,STUDIO_G_HD
3261,S7 mini
3262,Aura Note 2
3263,SMART Race 4G
3264,Karbonn Aura Sleek 4G
3265,Venus_V3_5040_2GB
3266,PC-25
3267,RNE-L03
3268,Ilium L1200
3269,Wide
3270,SM-J400M
3271,Aquaris U Lite
3272,FIG-LX3
3273,Z828
3274,GI528
3275,era1Xpro
3276,i100
3277,PRA-TL10
3278,ZTE T320
3279,Micromax Q354
3280,MS50M
3281,SKY
3282,Neffos C5 Max
3283,K7
3284,MITO T61
3285,HTC One A9s
3286,ASUS_A009
3287,MyPhone my92 DTV
3288,SM-G9550
3289,A89
3290,Panasonic P85
3291,CPH1861
3292,UP Prime
3293,ZTE BLADE V0850
3294,GO401
3295,Archos 55 Platinum
3296,Avvio Q797
3297,iCherry_X1
3298,TA-2
3299,ASUS_Z00YD
3300,iris
3301,SM-J327W
3302,GO503
3303,myPhone_CUBE_LTE
3304,Micromax E4815
3305,BQru-4028
3306,Power 3S
3307,HUAWEI RIO-L03
3308,Lenovo P2a42
3309,Studio XL 2
3310,Infinix X603-LTE
3311,HUAWEI LUA-U03
3312,SM-T536
3313,Q90
3314,Infinix X571
3315,P10 Plus
3316,TECNO-N9S
3317,AX823
3318,Axioo AX6
3319,VerykoolSL5550
3320,BAC-L03
3321,Coolpad 3623A
3322,M40
3323,B29
3324,i60
3325,HTC U11 plus
3326,MIDM-706
3327,NEXT V
3328,Lenovo PB1-750M
3329,Micromax Q4311
3330,Aqua Young
3331,M3E
3332,LG-F620S
3333,V900
3334,KWANITA
3335,SMART 4G MAX 5.5
3336,GT-S7390L
3337,BLL-L22
3338,G3412
3339,SMART_4G_Speedy_4inch
3340,LG-F700K
3341,HTC U Ultra
3342,ZTE Blade A475
3343,SKY 5.0 LT
3344,V451720
3345,K007
3346,P1000
3347,SM-N920G
3348,TECNO KA7
3349,Blade V580
3350,5010U
3351,MS650
3352,BLU NEO X
3353,FUN VALUE 4G
3354,ANE-AL00
3355,Bmobile_AX685
3356,TECNO CA6
3357,BLU DASH M
3358,BTV-DL09
3359,MyPhone my85 DTV
3360,G
3361,Lenovo K920
3362,ZTE Blade V2
3363,itel it1703
3364,Flare P1
3365,AX1065
3366,iris41
3367,Joy HH5524A
3368,Archos 50B Cobalt
3369,SM-N916L
3370,CLT-L09
3371,TECNO K8
3372,FLA-LX3
3373,ExciteC
3374,Silver Q
3375,Primo R3
3376,SM-J100FN
3377,Benefit_M505
3378,Admire Fab Q+
3379,SM-A300M
3380,MyPhone my81 DTV
3381,HTC_D10i
3382,T1-A22L
3383,VENTURE 11
3384,Plume L2
3385,HUAWEI KII-L23
3386,5085N
3387,STV100-1
3388,LG-H870S
3389,Spice F302
3390,G36
3391,ZTE BLADE A910
3392,Hisense U989
3393,BLL-L21
3394,PGN523
3395,VOX4+
3396,SM-A730F
3397,Flare_J1
3398,Bang 2
3399,Dash L3
3400,MAXTRON V13
3401,BQru-5022
3402,TECNO W2
3403,CPH1719
3404,YU 6000
3405,B5
3406,ZTE BLADE A330
3407,5056I
3408,A5_Ready_TM
3409,X5pro
3410,Celkon Q4GPlus
3411,DRA-LX3
3412,Che1-L04
3413,Astra Blaze
3414,lephone_W9
3415,V1
3416,Elite 2 Plus
3417,Primo GH6+
3418,MS50_4G
3419,HUAWEI SCC-U21
3420,Coolpad E571
3421,itel it1556 Plus
3422,ZTE BLADE A0622
3423,DIG-L01
3424,ONEPLUS A6000
3425,BLADE A6 MAX
3426,M1
3427,LG-H918
3428,BLADE V8 SE
3429,R40A
3430,Lenovo TAB 2 A7-30F
3431,7048X
3432,ZTE BLADE A5 PRO
3433,Galaxy J7 Pro
3434,Panasonic_T50
3435,P01Z
3436,E5563
3437,CLT-L29
3438,K2
3439,Flare_J2_DTV
3440,LG-D851
3441,LLD-L31
3442,SAMSUNG-SGH-I537
3443,MS453
3444,SM-J810Y
3445,B1-780
3446,ILIUM PAD E10Si
3447,U50B
3448,thl 5000
3449,Flare J7
3450,INTENSE POWER
3451,Panasonic ELUGA Tapp
3452,X1 atom
3453,H4113
3454,PGN-509
3455,Redmi Y2
3456,SM-C701F
3457,SM-J530L
3458,MITO T71
3459,Desh-X
3460,SM-J327U
3461,Z2
3462,CPH1611
3463,SM-G9287C
3464,FS-M787
3465,SM-T819Y
3466,Hisense U989 Pro
3467,Plane 7700T 4G PS1127PL
3468,M3s
3469,DL7006
3470,PGN612
3471,X6
3472,Nitro_4
3473,SAMSUNG-SM-G850A
3474,STK_Sync_5e
3475,Doogee X5 MAX PRO
3476,O+ Ultra Lite
3477,Advance A4
3478,InFocus M2_3G
3479,LG-V930
3480,Chronos Impact
3481,ASUS_Z00TD
3482,IF9001
3483,ONEPLUS A6003
3484,itel P32
3485,Karbonn Aura 1
3486,V1_Nano
3487,Titanium Jumbo
3488,R8
3489,moto e5 supra
3490,MYPAD 7
3491,HUAWEI P7-L12
3492,QMobile i5.5
3493,HTC_D820f
3494,Apollo 5 Neo
3495,CogentPlus
3496,HTC Desire 630 dual sim
3497,I_S4s
3498,BQ-5591
3499,LEX650
3500,LG-H631
3501,M24i
3502,verykools5037
3503,A82
3504,ZTE BLADE L0510
3505,ST9119
3506,GO452
3507,TECNO Camon CX
3508,Atlantic4G
3509,AURII_DELIGHT
3510,HL810G
3511,Allure M1
3512,9010X
3513,Micromax Q450
3514,ET7183GQ-H16
3515,Archos Core 101 3G
3516,Panasonic ELUGA Arc
3517,MS50S
3518,LT500 PRO
3519,ASUS_Z011DD
3520,FS458
3521,BQS-5065
3522,C4
3523,H70-G
3524,Philips S337
3525,AX1065E
3526,P9
3527,Pinguino Z5519
3528,H8266
3529,SM-J737P
3530,HTC One E9s dual sim
3531,iris758
3532,SM-T235
3533,ZB551KL
3534,Infinix X5514D
3535,W_P200CM
3536,6039A
3537,F688
3538,LT700 PRO
3539,H150
3540,Cogent Colours
3541,P00C
3542,Ursus N180
3543,POLYTRON_4G551
3544,Smartfren Andromax G36C1H
3545,Z831
3546,VS500
3547,LM-Q710(FGN)
3548,Duopix F1
3549,HOT_3
3550,AF06
3551,itel it1508 Plus
3552,A110
3553,itel A32F
3554,O3
3555,SM-G935K
3556,JMM-L22
3557,verykools5019
3558,LG-D618
3559,SM-N7505
3560,Orange Dive 30
3561,KIOWA X5
3562,M653
3563,LGV33
3564,LG-M703
3565,PRA-LX3
3566,Infinix X573B
3567,verykool Wave Pro s5021
3568,E5663
3569,E5303
3570,miniS8+
3571,TECNO WX4
3572,FS529
3573,SM-C9000
3574,V46
3575,P8_Life
3576,ANE-LX3
3577,S9 mini
3578,SM-J710GN
3579,Che1-CL20
3580,MX7_QuadCore
3581,Cobalt_SM_5
3582,4034D
3583,Fero_Iris
3584,QMobile Q Infinity B
3585,Archos 50 Platinum 4G
3586,MS60F
3587,Bluesky S909
3588,PH-1
3589,Lenovo TAB 2 A7-30HC
3590,Aqua Speed HD
3591,era1X
3592,SM-N950U1
3593,7_Plus
3594,INOI_2_LITE
3595,FlareS5LiteDTV
3596,H60
3597,TECNO i3 Pro
3598,EVOLTA
3599,SHV42
3600,TS-M706E
3601,Eros Smart
3602,Flare_J1_mini
3603,S505024
3604,Just5
3605,MediaPad 10 LINK
3606,L30
3607,ASUS_Z00A
3608,ZTE BLADE A520
3609,Z959
3610,GO Onyx Plus
3611,Z861BL
3612,LGL62VL
3613,SAMSUNG-SM-G920AZ
3614,P5026A
3615,VS987
3616,Micromax Q461
3617,Energy E3
3618,Primo RM
3619,Titan
3620,W510
3621,P7075
3622,Panasonic T45 4G
3623,SM-J530S
3624,Hisense C1
3625,A505 JOY Plus
3626,V49
3627,Z987
3628,Oracle2
3629,GM 8
3630,WAS-LX3
3631,PO11140TAQ-10213GMK2
3632,E435 Lite
3633,SM-N920K
3634,LGL83BL
3635,Cool Extreme
3636,CRO-L02
3637,H1711
3638,IP7
3639,Evo550
3640,LM-X210CM
3641,M5c
3642,Micromax Q380N
3643,SKY 5.0W
3644,HTC Desire 816
3645,GT-I9300T
3646,HTV31
3647,E2306
3648,GIONEE A1
3649,Sun_S5501
3650,ZTE Blade L6
3651,C6902
3652,PHQ525
3653,F8331
3654,XT1565
3655,EGQ182
3656,Micromax Q402+
3657,itel-it1512
3658,AT8B
3659,LG-M200
3660,HTC Desire 728G dual sim
3661,A9 Indian
3662,QMobile S6
3663,Evo 5.0
3664,M4 SS4450
3665,IK-785
3666,AKUS
3667,ZB500KG
3668,Lenovo A6020l37
3669,M503
3670,Spice Mi-498
3671,TA-1038
3672,I-S6
3673,X60L
3674,Omega Icon 2
3675,ZTE T520
3676,W_C800S
3677,ZTE Blade A476
3678,5056W
3679,V16
3680,Panasonic P99
3681,602KC
3682,Beyond
3683,X4_Soul_Lite
3684,lephone_W11
3685,Impress Fortune
3686,Bolt 5.5 S
3687,Micromax P701
3688,G3423
3689,Lenovo S1La40
3690,SM-J327R4
3691,5045X
3692,K10
3693,TM800A620M
3694,Zun XS
3695,MyPhone my28S
3696,KJ-YUBI
3697,XT1710-02
3698,PRA507
3699,BLADE A520
3700,i5G
3701,562
3702,Neffos C7
3703,SO-03G
3704,A33fw
3705,MITO_A19_1GB
3706,CPH1803
3707,IceSEC
3708,BLU STUDIO C HD
3709,LG-D690
3710,ELUGA Turbo
3711,DUK-L09
3712,CUBOT MAX
3713,Starmobile PLAY Click
3714,ZUK Z1
3715,7
3716,SM-G361HU
3717,FS459
3718,Avvio_L630
3719,SM-G389F
3720,LG-V522
3721,4060W
3722,Micromax Q349
3723,Micromax E483
3724,itel it1702
3725,B5Pro
3726,TECNO LA7
3727,SM-A530F
3728,Arya SSP5
3729,QMobile i7i
3730,M370i
3731,Macro M1
3732,Philips_S326
3733,itel S32
3734,Fancy
3735,NX16A10132SPS
3736,HUAWEI SCL-U23
3737,MTN-S620
3738,LP_VEYRON
3739,5058
3740,K-LITE_NEXT_M1
3741,Fire2 LTE
3742,Miracle 6.0 S
3743,Blade L5 Plus
3744,BVQuad_Plus
3745,SM-G935R4
3746,SM-J720F
3747,GO 2
3748,BLL-L23
3749,ATU-L22
3750,K500 LTE
3751,Venus_R10
3752,X4
3753,m3
3754,Lenovo TB2-X30L
3755,M52_Red_Note
3756,SMART Surf2 4G
3757,HTC Desire 12+
3758,ASUS_Z00MD
3759,D6543
3760,OPPO R11s
3761,Ice Plus 2
3762,Micromax Q397
3763,LG-D335
3764,MHA-L09
3765,5085Q
3766,SM-T355Y
3767,SM-N960U
3768,Bluboo  Dual
3769,iris880
3770,Axioo_AX4
3771,X-TIGI_V18
3772,SGH-M919
3773,SM-G920T1
3774,Cloud Flash
3775,ZTE BLADE A506
3776,ODYSSEY SAGA
3777,VIE-L29
3778,Aqua Star 4G
3779,POLYMER 3
3780,S9
3781,LGL53BL
3782,iQW553N
3783,Swift 2 X
3784,roar E80
3785,vivo 1719
3786,i7
3787,RA-1 Genius
3788,TABLET_PC
3789,SM-G611FF
3790,Neo_A100
3791,Google Seed
3792,FLARE 4
3793,Studio C HD
3794,e501
3795,SM-G935W8
3796,Duopix R1
3797,Q440
3798,F3115
3799,Spice K601
3800,SM-N915T
3801,YUHO Y1
3802,A76
3803,BQS-5515
3804,MIX 2S
3805,RoverPhone
3806,Aqua Power M
3807,C5
3808,IF9007
3809,LG-LS997
3810,SM-G5510
3811,Stylo K7
3812,YOGA Tablet 2-830LC
3813,itel it1516 Plus
3814,AT8L
3815,SMART MAX 4.0 PLUS
3816,itel S12
3817,V75m
3818,LG-F160K
3819,Ramdhani Alhasbu R
3820,Hisense L675 PRO
3821,i21
3822,HERO3
3823,X1 Selfie
3824,BBC100-1
3825,C6802
3826,HM 1SW
3827,HL5667
3828,HT0702W08
3829,Hisense F10
3830,Eclipse_G400M
3831,SP455
3832,MI 6X
3833,X
3834,P001
3835,s6005X
3836,Studio Mega
3837,MI 8
3838,SMART 4G GEN C 4.0
3839,Aura Sleek Plus
3840,SM-G903W
3841,Orange_Rise_33
3842,Grace V Plus
3843,VERGATARIO 5
3844,J7 Emerge
3845,VS4011
3846,MyPhone MY32
3847,DUK-AL20
3848,Archos Core 55S
3849,Le_Hello
3850,C226
3851,HWY360
3852,M bot 60
3853,iNO S9
3854,LG-Q710AL
3855,Note 8
3856,SM-G965U1
3857,Andi_5.5H_Weber_4G
3858,HTC6500LVW
3859,LGL56VL
3860,CPN-AL00
3861,MID-1087
3862,Flare_HD_MAX
3863,BLACK-1X
3864,P41_eMagic
3865,INTEX AQUA CRYSTAL
3866,Grand2c
3867,Innos_D6000
3868,K50n
3869,B1
3870,X300 Elite
3871,TECNO-W5
3872,NS5502
3873,Alcatel Pop C7
3874,Z6 mini
3875,Eluga I9
3876,QUIQ Sleek 4G
3877,MicromaxP702
3878,SM-N900W8
3879,LM-X212(G)
3880,moto e5 plus
3881,ZTE BLADE L7
3882,Admire Swadesh+
3883,Class S300 LTE
3884,GO Onyx mini
3885,Wooze_L
3886,A45 Indian
3887,Astra Young 4G
3888,Panasonic ELUGA Mark
3889,Infinix X606B
3890,X22
3891,SuperTabS7G
3892,HUAWEI LUA-U02
3893,LG-D724
3894,SM-J337P
3895,4017A
3896,HUAWEI G700-U20
3897,TANGO
3898,SMART 4G MAX 4.0
3899,SM-P350
3900,CPH1821
3901,Infinix X604
3902,SM-G360G
3903,INTEX AQUA S3
3904,SC-02F
3905,5044D
3906,M4 SS4458
3907,Aqua View
3908,Micromax Q351
3909,Beeline Pro 2
3910,LLD-L21
3911,A400
3912,LGLS740
3913,EARTH70
3914,Kylin 5.5S
3915,SM-G9600
3916,SM-G925S
3917,Z61
3918,Symphony P7 PRO
3919,XT1635-01
3920,irisalfa
3921,LS-5013
3922,MI 4W
3923,MX790
3924,UNIVRS
3925,D5316
3926,LML413DL
3927,SM-N920I
3928,L51
3929,i7U
3930,SM-G950W
3931,BAC-L21
3932,SM-G950
3933,S61
3934,Z958
3935,ACCENT Fast7 3G
3936,A38
3937,C103
3938,V1 MAX
3939,X9S
3940,SM-G935P
3941,NEX3 mini
3942,E5306
3943,SM-J337A
3944,DRA-LX2
3945,CUBOT_NOTE_S
3946,SM-T531
3947,SM-N9002
3948,HL5446
3949,Pocket_2
3950,HM-G552-FL
3951,Elite Note
3952,Micromax Q392
3953,X19
3954,Micromax Q341
3955,ALDO
3956,PGN515
3957,MUV
3958,X4UPlus
3959,SM-J7+
3960,F5121
3961,ME302KL
3962,INOI_2
3963,Philips S318
3964,M21
3965,MORE 5.0
3966,i-mobile
3967,Micromax Q4601
3968,Studio J8
3969,Elite_5_5_Octa
3970,F3212
3971,SM-J600F
3972,Impress_Glory
3973,Infinix-X521
3974,SM-N910S
3975,INTEX AQUA FulVU e5
3976,Archos 70d Titanium
3977,LGL18VC
3978,TECNO F2
3979,Micromax Q414
3980,Grand Max
3981,HT70
3982,Aqua Ace Mini
3983,OUKITEL U10
3984,moto_nba1
3985,E71
3986,TMK715L
3987,LS-5015
3988,R505
3989,Archos 55B Cobalt
3990,SM-G360T
3991,CUBOT KING KONG
3992,ELUGA Ray Max
3993,Hisense Hi 1
3994,Andromax A36C5H
3995,INTEX IM0418ND
3996,Hisense F22M
3997,5S
3998,Aqua_Sense_5_1
3999,LG-H340n
4000,vivo 1612
4001,Blade X8
4002,SM-J727VPP
4003,SM-J320YZ
4004,S3+
4005,HAFURY UMAX
4006,WE A3
4007,B75A
4008,SM-J701MT
4009,Inovacel_S24
4010,SM-J810G
4011,V455120
4012,Lenovo S60-a
4013,Studio View
4014,M-PPxG515
4015,Dash XL
4016,P42
4017,Superion Radar Deluxe
4018,X418 Zest
4019,Ixion M545
4020,AUM-L41
4021,LGLS755
4022,Jazz J3 2018
4023,TECNO F1
4024,Iris X8 L
4025,B9505
4026,4Good Light A103
4027,Panasonic T30
4028,5022X
4029,CHRONOS ACE PLUS
4030,INTEX AQUA 4G MINI
4031,VOX Flash 4G VS5015ML
4032,ZB602KL
4033,SM-A800F
4034,Z45Q Star
4035,G3221
4036,Fresh4G
4037,CAG-L03
4038,R45
4039,SSB-500
4040,iris 870 4G
4041,QMobile X29
4042,PQ520M
4043,thl T6C
4044,SM-J8+
4045,5045D
4046,Crystal
4047,Omega HD 3
4048,KYV35
4049,LG-H930
4050,AURII_DREAM_MINI
4051,X11
4052,itel it1460 Pro
4053,Young Y52
4054,SM-J530G
4055,M7 Power
4056,DUA-L22
4057,5047D
4058,HTC One_E8 dual sim
4059,HUAWEI MLA-L11
4060,Alfa A18
4061,TECNO F3
4062,Ilium X500B
4063,TECNO IN1
4064,Elite Prime
4065,LND-AL30
4066,LAVA_R1
4067,MB7102
4068,d-02H
4069,SM-T385
4070,Che2-L11
4071,Infinix NOTE 3
4072,M5 Plus
4073,Micromax Q401
4074,SM-J3119S
4075,ASUS_X018D
4076,Elite Power
4077,P5025A
4078,Ultra Shine
4079,V5064M
4080,SM-T355
4081,Kylin 5.5
4082,MicromaxF666
4083,HUAWEI MLA-AL10
4084,iris fuel10
4085,PULP FAB 4G
4086,O41
4087,J7 Prime
4088,Evolio_S5
4089,ZA509
4090,Aura
4091,Omega HD 5
4092,X5max_PRO
4093,vivo V3Max A
4094,ATU-LX3
4095,5026A
4096,BLA-L09
4097,Elite Sense
4098,Googol1
4099,K90
4100,ADMIRE_CURVE+
4101,COMIO S1
4102,BLU STUDIO C 5+5
4103,Redmi S2
4104,Redmi 6A
4105,S552
4106,V500
4107,itel P12
4108,Edge
4109,Elite Plus
4110,5051J
4111,4017X
4112,Max 2
4113,HTC Desire 650
4114,itel P51
4115,Rover
4116,ASUS_X00LDA
4117,LG-M160
4118,K1
4119,Plane_7546S_3G_PS7158PG
4120,Pacific-ip6
4121,X5mini
4122,HUAWEI CAM-L03
4123,ZEN ADMIRE SENSE
4124,C3
4125,V400414
4126,CLOUD TREAD
4127,Indian9
4128,LG-H630D
4129,Archos 40 Power
4130,ME173X
4131,SM-J600FN
4132,X-TIGI_V33
4133,AX685
4134,S4Q
4135,JCI VA-10J
4136,LGT02
4137,Coolpad E561
4138,ASUS_X00LDB
4139,B1-770
4140,E2
4141,AS8
4142,Lenovo X2-AP
4143,MY801
4144,LG-K210
4145,Aqua GenX
4146,VFD 513
4147,C1
4148,M4 SS4453
4149,MIX2
4150,M5 Plus Lte
4151,A96
4152,A7Pro
4153,AX1010
4154,s5029
4155,Twist Metal
4156,FS456
4157,K9 Music 4G
4158,vivo 1803
4159,Alcatel_4060O
4160,Micromax Q334
4161,Celkon Q599
4162,HUAWEI LUA-L13
4163,SP56
4164,Block mini
4165,SM-N920R4
