,mod
449,Inspiron 910
450,C2105
451,GOA
452,MediaPad T1 8.0
453,m3 note
454,EVA-DL00
455,5010G
456,HUAWEI ATH-UL01
457,ALE-L02
458,4047D
459,K4000 Plus
460,Elite
461,bq Aquaris
462,GT-S6310N
463,BLN-L21
464,LEX720
465,Nexus 6P
466,WAX
467,SM-G920I
468,P01M
469,SM-G950N
470,MIX
471,GT-P5110
472,Lenovo A6020a40
473,GT-I9305
474,HT16
475,GT-P5210
476,ASUS_T00F
477,Edison 3
478,F3211
479,SM-J320H
480,P024
481,SM-T710
482,HS-G610
483,HUAWEI Y625-U51
484,SM-A710M
485,MEO_Tablet_2
486,LAIQ New York
487,K013
488,LG-D335E
489,ZP951
490,GT-n7108
491,MEDION E4506
492,R7sf
493,Nokia_XL
494,ASUS_Z01HD
495,Le X520
496,ASUS_Z01BD
497,2014813
498,Aquaris M
499,Smart A65
500,A7
501,HUAWEI NMO-L31
502,HIGHWAY SIGNS
503,SM-A300H
504,S60
505,SM-G318H
506,SM-T719
507,Archos 50 Neon
508,omni_oneplus3
509,InnJoo 4
510,KOB-W09
511,SM-T520
512,LENNY2
513,LESPH5002B
514,VFD 300
515,Metal
516,SM-T560
517,ASUS_Z012DE
518,B1-810
519,B1-730HD
520,HIGHWAY
521,AEG AX700
522,LG-P875
523,GT-I9506
524,Positivo Twist S
525,P01Y
526,Aquaris U
527,E2333
528,MI MAX 2
529,LG-H635
530,Pixel
531,Mars pro
532,XT890
533,K010
534,Nexus 7
535,4033L
536,SM-T820
537,CPH1701
538,ZUK Z2121
539,Lenovo K33b36
540,TA-1012
541,thl T100S
542,LG-F600L
543,M5 Note
544,Be_Pure
545,TA-1053
546,LG-D620
547,Moto G (5)
548,SM-G110H
549,FALCON
550,Vodafone 785
551,S5E
552,H60-L04
553,Lenovo A6000
554,Lenovo TB3-X70F
555,JERRY
556,LENNY3
557,LG-V500
558,V80 PLUS
559,Vodafone 890N
560,TECNO-C9
561,GT-N8020
562,HTC One
563,SM-N750
564,bq Curie 2
565,HUAWEI Y625-U21
566,Paris
